AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Uttar Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,59.0,1660.0,7579
Uttarakhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,106.0,106.0,418
West Bengal,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47.0,353.0,1954
Andaman & Nicobar Islands,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,10
Andhra Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,3316.0,6993
Arunachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,27.0,43
Assam,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,52.0,134.0,1255
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,340.0,2445
Chandigarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,135.0,662
Chhattisgarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,428.0,1645
Dadra & Nagar Haveli,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,8
Daman & Diu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,11.0,24
